sku,group_id,name,url,price,in_stock,image_url,categories,keywords,description,dy_display_price,life_stage,product_type,type:number:annual_fee,type:number:cashback_percent,type:number:interest_rate,type:number:max_amount,type:number:min_amount,type:number:risk_level,type:number:term_months,brand,tagline,long_description,segment,tier,badge,rate_type,liquidity,fee_summary,regulatory_note,faq,type:array:features,type:array:eligibility,type:array:perks,type:array:personas,type:array:goals,type:array:related_skus,type:number:monthly_fee,type:number:aer,type:number:expected_return_min,type:number:expected_return_max,type:number:annual_fee_pct,type:number:transaction_fee_pct,type:number:fx_fee_pct,type:number:cashback_monthly_cap,type:number:min_term_months,type:number:notice_days,type:number:min_age,type:number:min_income,type:number:customer_rating,type:number:review_count,type:number:popularity_score,type:date:launched_at
ACC-EVERY-001,GRP-ACC-EVERY,Everyday Current Account,https://banking-demo-five.vercel.app/products/accounts/everyday-account,0,true,https://banking-demo-five.vercel.app/images/products/everyday-account.png,Accounts|Everyday|Everyday Current Account,current account|checking account|everyday account|bank account|debit card|free account|no fees|IBAN|open an account|salary account|instant payments|budgeting,"A free everyday current account with a debit card, instant payments, no FX fees on card spending and smart budgeting built in.",€0/month,all,Current Account,0,0,0,0,0,1,0,NexaBank,"The account that runs your everyday money — free, fast and fee-free abroad.","The Everyday Current Account is the heart of NexaBank. You get an IBAN in minutes, a contactless debit card with no FX fees on card payments, instant transfers to anyone, salary and bill management with spending categories, and a real-time view of everything in the app. There is no monthly fee and no minimum balance — it stays free whatever you do with it.",personal,free,No monthly fee,none,instant,€0 monthly fee · 0% FX on card payments,"Deposits protected up to €100,000 per depositor by the EU Deposit Guarantee Scheme.","Is it really free? => Yes — no monthly fee, no minimum balance, no card fee. Optional services such as express card delivery are priced separately. || How quickly can I open it? => Most customers have an IBAN within ten minutes of scanning their ID in the app. || Can I get my salary paid in? => Yes — share your IBAN with your employer, and the salary sorter can split it into bills, savings and spending automatically.","Contactless debit card with Apple Pay and Google Pay|0% FX markup on card payments in 150+ currencies|Instant SEPA transfers and payment requests|Automatic spending categories, budgets and bill reminders|Round-Up Savings Pots and salary sorter included",Aged 18 or over and EU resident|Valid government-issued ID|Proof of address|One Everyday Current Account per person,"No monthly fee, no minimum balance|Debit card with no FX fees on card payments|Instant transfers, 24/7|Spending categories and budgets|Open in minutes with your ID",all,spend|save,SAV-INST-001|CARD-START-001|CASH-REW-001,0,0,0,0,0,0,0,0,0,0,18,0,4.7,12480,98,2026-07-01T00:00:00
ACC-JOINT-001,GRP-ACC-JOINT,Joint Account,https://banking-demo-five.vercel.app/products/accounts/joint-account,0,true,https://banking-demo-five.vercel.app/images/products/joint-account.png,Accounts|Joint|Joint Account,joint account|shared account|couple account|household bills|split expenses|married|partner|family budget|shared finances|rent and bills,"A free shared current account for couples and households — two debit cards, shared bills, split expenses and one clear view.",€0/month,family,Joint Account,0,0,0,0,0,1,0,NexaBank,"Run the household together — one account, two cards, zero arguments.","The Joint Account gives two people one shared pot for rent, bills and family spending, each with their own debit card and app access. Set shared budgets, see who spent what, and move money between personal and joint accounts instantly. Both holders have equal rights, and either can add the account to a savings goal such as a house deposit or a family holiday.",personal,free,"Two cards, one account",none,instant,€0 monthly fee · 0% FX on card payments,"Deposits protected up to €100,000 per depositor by the EU Deposit Guarantee Scheme.","Do both of us need to be NexaBank customers? => Yes — each holder needs their own Everyday Current Account, which is free and takes minutes. || What happens if we separate? => Either holder can freeze the account; closing it requires both holders or a court instruction. || Can we have a joint savings pot? => Yes — create shared Round-Up Pots or a Notice Account from the joint account.","Equal access for both account holders|Two contactless debit cards with 0% FX markup|Shared spending categories, budgets and bill calendar|Split-the-bill and settle-up between holders|Shared savings goals linked to Round-Up Pots",Both holders aged 18 or over and EU resident|Both holders hold or open an Everyday Current Account|Valid ID and proof of address for both|One Joint Account per pair of holders,"Two debit cards, both fee-free abroad|Shared budgets and bill tracking|Split any expense in one tap|Instant moves from personal accounts|No monthly fee",family,family|spend|save,SAV-NOT-001|INS-LIFE-001|ACC-KIDS-001,0,0,0,0,0,0,0,0,0,0,18,0,4.8,3120,80,2026-07-01T00:00:00
ACC-STU-001,GRP-ACC-STU,Student Account,https://banking-demo-five.vercel.app/products/accounts/student-account,0,true,https://banking-demo-five.vercel.app/images/products/student-account.png,Accounts|Student|Student Account,student account|student bank account|university|overdraft|interest-free overdraft|student discounts|erasmus|year abroad|first bank account|freshers,"A free current account for students aged 18 to 25 with a €500 interest-free overdraft, no FX fees and student discounts built in.",€0/month,student,Student Account,0,0,0,500,0,1,0,NexaBank,"Built for student life — free, flexible, and forgiving at the end of the month.","The Student Account is the Everyday Current Account tuned for studying: a €500 interest-free arranged overdraft for the tight weeks, no FX fees on the year abroad, and partner discounts on transport, food delivery and software. It stays a Student Account while you are enrolled and converts to an Everyday account with a graduate overdraft period when you finish.",personal,free,Interest-free overdraft,none,instant,€0 monthly fee · €500 interest-free overdraft,"Deposits protected up to €100,000 per depositor by the EU Deposit Guarantee Scheme.","Is the overdraft really interest-free? => Yes, up to €500 while you are a student and for 12 months after you graduate. || Can I use it abroad? => Yes — no FX fees on card payments and two free ATM withdrawals a month anywhere in the world. || What happens when I graduate? => The account becomes an Everyday Current Account; the interest-free overdraft continues for 12 months.","€500 interest-free arranged overdraft from day one|Contactless debit card with 0% FX markup|Student partner discounts on transport, food and software|Budgeting tools tuned to term-time and loan instalments|Graduate transition with a further 12 months of free overdraft",Aged 18 to 25|Enrolled in an accredited university or institution|EU resident with valid ID|Proof of enrolment uploaded annually,€500 interest-free arranged overdraft|No monthly fee|0% FX fees for your year abroad|Student discounts at partner brands|Converts to a graduate account when you finish,student,spend|education|build_credit,LOAN-STU-001|CARD-START-001|SAV-ROUND-001,0,0,0,0,0,0,0,0,0,0,18,0,4.8,2210,75,2026-07-01T00:00:00
ACC-KIDS-001,GRP-ACC-KIDS,NexaKids Account,https://banking-demo-five.vercel.app/products/accounts/nexakids-account,0,true,https://banking-demo-five.vercel.app/images/products/nexakids-account.png,Accounts|Kids|NexaKids,kids account|children's bank account|pocket money|kids debit card|parental controls|chores|first bank account for kids|allowance|money lessons|under 12,"A free pocket-money account for children aged 6 to 12 with a parent-controlled debit card, chores and savings goals in a kid-friendly app.",€0/month,kids_teens,Kids Account,0,0,0,0,0,1,0,NexaBank,Their first money lessons — with you in control of every setting.,"NexaKids is a pocket-money account for children aged 6 to 12. Parents set the allowance, approve or block merchant categories, and see every payment in real time; children get a colourful card and their own app view with chores, savings goals and 2% interest to watch their balance grow. No fees, no overdraft, and the card only works where you allow it.",kids,free,Ages 6–12,none,instant,€0 monthly fee · no overdraft,"Deposits protected up to €100,000 per depositor by the EU Deposit Guarantee Scheme.","Can my child spend online? => Only if you enable it — online payments and specific merchant categories are switched on or off by the parent. || Can grandparents send money? => Yes, via a gift link that goes straight into the child's savings goal. || What happens at 13? => NexaKids upgrades to NexaTeen automatically, with more independence and the same parental oversight.",Debit card with parental spending limits and category blocks|Automatic pocket money on the day you choose|Chores and rewards the child completes in their app|Savings goals earning 2.0% AER|Real-time notifications to the parent for every payment,Child aged 6 to 12|Parent or legal guardian holds an active NexaBank current account|Child's identity document provided at opening|One NexaKids Account per child,"Parent-controlled debit card|Scheduled pocket money and chore rewards|Savings goals with 2% interest|Block merchant categories instantly|No fees, no overdraft",kids_teens|family,kids|family|save,SAV-JUN-001|ACC-TEEN-001|ACC-JOINT-001,0,2,0,0,0,0,0,0,0,0,6,0,4.9,640,58,2026-08-01T00:00:00
ACC-TEEN-001,GRP-ACC-TEEN,NexaTeen Account,https://banking-demo-five.vercel.app/products/accounts/nexateen-account,0,true,https://banking-demo-five.vercel.app/images/products/nexateen-account.png,Accounts|Teens|NexaTeen,teen account|teenager bank account|youth account|debit card for teens|first job|part-time wages|parental oversight|13 to 17|under 18 banking|independence,"A free current account for teenagers aged 13 to 17 with their own debit card, budgeting tools and light-touch parental oversight.",€0/month,kids_teens,Teen Account,0,0,0,0,0,1,0,NexaBank,Independence with a safety net — banking that grows up with them.,"NexaTeen gives 13-to-17-year-olds a real current account: a contactless debit card that works online and abroad, budgeting tools, savings goals and a pay-in IBAN for part-time job wages. Parents see spending, can set limits and top up instantly, but teens run the day-to-day themselves. At 18 it becomes a Student or Everyday account without changing the IBAN.",kids,free,Ages 13–17,none,instant,€0 monthly fee · no overdraft,"Deposits protected up to €100,000 per depositor by the EU Deposit Guarantee Scheme.","Can a teen shop online? => Yes — online payments are on by default, with parent-set limits and no gambling or age-restricted merchants. || Is there an overdraft? => No. The card declines rather than going negative. || Does the parent see everything? => Parents see transactions and balances; the teen manages budgets and goals themselves.","Contactless debit card with online payments and 0% FX markup|Parental view with optional spending limits and instant top-ups|Budgeting, savings goals and 1.5% AER on savings|Salary pay-in for part-time work and apprenticeships|Seamless upgrade to a Student or Everyday account at 18",Teenager aged 13 to 17|Parent or legal guardian holds an active NexaBank current account|Teen's identity document provided at opening|One NexaTeen Account per teenager,"Own debit card, online and abroad|Parents see spending and can set limits|Budgets and savings goals|IBAN for part-time job wages|Keeps the same IBAN at 18",kids_teens|family,kids|spend|save,ACC-KIDS-001|SAV-JUN-001|ACC-STU-001,0,1.5,0,0,0,0,0,0,0,0,13,0,4.8,410,54,2026-08-01T00:00:00
CARD-START-001,GRP-CARD-START,NexaStart Card,https://banking-demo-five.vercel.app/products/credit-cards/nexa-start,0,true,https://banking-demo-five.vercel.app/images/products/nexa-start.png,Cards|Free|NexaStart,free card|no fee|student card|cashback|build credit|entry level|first credit card|no annual fee|beginner|credit score|starter card,Start your credit journey with no annual fee and 1% cashback on every purchase from day one.,€0/year,student,Credit Card,0,1,0,3000,0,1,0,NexaBank,Start your credit journey with no annual fee and real cashback from day one.,"NexaStart is built for first-time card holders and anyone rebuilding their credit history. There's no annual fee, no minimum income requirement, and you earn 1% cashback on every purchase from the moment your card arrives. Spending insights in the app help you stay on top of your balance and build healthy habits.",personal,free,,variable,na,€0 annual fee · 2.5% FX markup · 0% APR promotional rate,Credit subject to status. Representative APR varies by card and credit profile.,"Is there really no annual fee? => None — NexaStart is free for as long as you hold it. You only pay interest if you carry a balance. || Will this help my credit score? => Yes. Paying on time each month is reported to credit bureaus and builds your history. || What is the credit limit? => Up to €3,000, reviewed after six months of on-time payments.","No annual fee, ever|1% cashback on all purchases, paid monthly|Build or rebuild your credit score|Real-time spending insights in the NexaBank app|Apple Pay and Google Pay supported",Aged 18 or over and EU resident|Valid government-issued ID|Active NexaBank current account|No active bankruptcy proceedings,"No annual fee, ever|1% cashback on all purchases|Build your credit history|Spending insights in the app|Apple Pay & Google Pay",student|young_professional,build_credit|spend,ACC-STU-001|SAV-ROUND-001|CASH-REW-001,0,0,0,0,0,0,2.5,0,0,0,18,0,4.5,5120,84,2022-01-10T00:00:00
CARD-ESS-001,GRP-CARD-ESS,NexaEssential Card,https://banking-demo-five.vercel.app/products/credit-cards/nexa-essential,49,true,https://banking-demo-five.vercel.app/images/products/nexa-essential.png,Cards|Essential|NexaEssential,essential|everyday|basic travel|purchase protection|low fee|mid-tier card|everyday credit card|fraud protection|virtual card|contactless,"Everyday versatility with basic travel cover and purchase protection up to €1,000 per item.",€49/year,all,Credit Card,49,0.5,19.9,10000,0,1,0,NexaBank,Everyday versatility with travel cover and purchase protection built in.,"NexaEssential is the everyday card for people who want a reliable mid-tier credit card with the extras that matter: basic travel insurance, purchase protection up to €1,000, and round-the-clock fraud monitoring. A modest annual fee gets you a higher credit limit and more comprehensive cover than NexaStart.",personal,essential,,variable,na,€49 annual fee · 2% FX markup · 19.9% APR,Credit subject to status. Representative APR varies by card and credit profile.,"What does purchase protection cover? => Theft or accidental damage of items bought with the card, up to €1,000 per item, for 90 days. || Is the travel insurance enough for a holiday? => It covers the cardholder for medical emergencies and cancellations on short trips. Frequent travellers should look at NexaNomad. || Can I get a virtual card for online shopping? => Yes — generate single-use virtual card numbers in the app.","0.5% cashback on all purchases|Basic travel insurance included for cardholder|Purchase protection up to €1,000 per item|Contactless and virtual card numbers for online use|24/7 fraud monitoring with instant alerts","Aged 18 or over and EU resident|Minimum net monthly income of €2,000|Active NexaBank current account|Good credit history (no recent defaults)","0.5% cashback on all purchases|Basic travel insurance included|Purchase protection up to €1,000|Contactless & virtual card|Fraud monitoring 24/7",all|family,spend|protect,ACC-EVERY-001|CASH-REW-001|INS-TRAV-001,0,0,0,0,0,0,2,0,0,0,18,24000,4.4,3870,76,2022-01-10T00:00:00
CARD-NOM-001,GRP-CARD-NOM,NexaNomad Card,https://banking-demo-five.vercel.app/products/credit-cards/nexa-nomad,99,true,https://banking-demo-five.vercel.app/images/products/nexa-nomad.png,Cards|Travel|NexaNomad,travel|nomad|no fx fees|lounge access|travel insurance|global|abroad|holiday card|foreign transaction|digital nomad|expat|frequent flyer,Made for travellers — no FX fees worldwide and two complimentary airport lounge visits per year.,€99/year,young_professional,Credit Card,99,1.5,17.9,20000,0,1,0,NexaBank,"No FX fees, lounge access, and full travel cover — made for travellers.","NexaNomad removes the friction from international spending. There are no foreign transaction fees, ever, and you earn 1.5% cashback on every purchase whether at home or abroad. Two complimentary lounge visits per year and comprehensive travel and medical insurance round out a card designed for people who live across borders.",personal,travel,Most Popular,variable,na,€99 annual fee · 0% FX markup · 17.9% APR,Credit subject to status. Representative APR varies by card and credit profile.,"Are there really no FX fees? => None — we pass on the Mastercard exchange rate with 0% markup, in any currency, any day of the week. || How does lounge access work? => Two visits per year at 1,300+ lounges via the app's lounge pass. Extra visits are €30 each. || Is travel insurance included for my family? => The cardholder and travelling family members are covered when the trip is paid with the card.",1.5% cashback on all purchases|No foreign transaction fees worldwide|2 free airport lounge visits per year|Comprehensive travel and medical insurance|Emergency card replacement anywhere in the world,"Aged 18 or over and EU resident|Minimum net monthly income of €3,500|Active NexaBank current account|Excellent credit history",1.5% cashback on all purchases|No foreign transaction fees|2 free airport lounge visits/year|Comprehensive travel & medical insurance|Emergency card replacement worldwide,young_professional|family,travel|spend,INS-TRAV-001|SVC-FX-001|ACC-EVERY-001,0,0,0,0,0,0,0,0,0,0,18,42000,4.8,6430,96,2022-05-01T00:00:00
CARD-PRES-001,GRP-CARD-PRES,NexaPrestige Card,https://banking-demo-five.vercel.app/products/credit-cards/nexa-prestige,299,true,https://banking-demo-five.vercel.app/images/products/nexa-prestige.png,Cards|Premium|NexaPrestige,premium|prestige|concierge|black card|high net worth|maximum insurance|exclusive|metal card|luxury|unlimited lounge|lowest APR|priority support,Our most exclusive card — 24/7 concierge service and our highest cashback rate at 2%.,€299/year,pre_retirement,Credit Card,299,2,14.9,100000,0,1,0,NexaBank,"Our most exclusive card — concierge service, maximum cover, premium perks.","NexaPrestige is reserved for our most discerning clients. A dedicated 24/7 personal concierge, unlimited airport lounge access, our highest cashback rate, and the lowest APR in the range. Maximum insurance coverage means you can travel and spend with absolute confidence, knowing every detail is taken care of.",personal,premium,,variable,na,€299 annual fee · 0% FX markup · 14.9% APR,Credit subject to status. Representative APR varies by card and credit profile.,"What can the concierge do? => Restaurant and travel bookings, event tickets, gifts, itinerary changes — anything legal, any hour, in 12 languages. || Does the annual fee pay for itself? => At €15,000 of annual spend the 2% cashback alone covers the fee, before lounge access and insurance. || Is there a metal card? => Yes — NexaPrestige is issued in brushed titanium with a numberless face.","2% cashback on all purchases — our highest rate|24/7 personal concierge service for any request|Unlimited airport lounge access worldwide|Maximum insurance coverage on travel, purchases and rentals|Dedicated priority customer support line","Aged 25 or over and EU resident|Minimum net monthly income of €8,000|Active NexaBank current account|Excellent credit history and clean financial record",2% cashback on all purchases|24/7 personal concierge service|Unlimited airport lounge access|Maximum insurance coverage|Dedicated priority support line,pre_retirement|hnw,spend|travel,PB-REL-001|INV-FUND-001|INS-TRAV-001,0,0,0,0,0,0,0,0,0,0,25,96000,4.9,1215,61,2022-05-01T00:00:00
LOAN-REAL-001,GRP-LOAN-REAL,Real Estate Loan,https://banking-demo-five.vercel.app/products/loans/real-estate-loan,0,true,https://banking-demo-five.vercel.app/loans/real-estate-loan.jpg,Loans|Real Estate|Real Estate Loan,mortgage|real estate|property|home purchase|home loan|first buyer|first home|buy a house|buy an apartment|buy-to-let|fixed rate mortgage|loan to value,Your home journey starts here — competitive rates and long-term flexibility with terms up to 30 years.,from 3.9% APR,family,Real Estate Loan,0,0,3.9,3000000,50000,1,360,NexaBank,"Your home journey starts here — competitive rates, long-term flexibility.","From first-time buyers to seasoned investors, our Real Estate Loan offers competitive rates and the flexibility to match your project. Choose between fixed and variable rates, borrow up to 90% of the property value, and benefit from a free valuation included with every application.",personal,na,Up to 90% LTV,fixed,na,No arrangement fee · free valuation · no early repayment fee on variable rate,Credit subject to status and affordability checks. Representative APR shown; your rate may vary.,How much deposit do I need? => At least 10% of the property value. With a 10% deposit we lend up to 90% loan-to-value. || Fixed or variable — which should I choose? => Fixed gives you a known repayment for the fixed period; variable tracks the market and has no early repayment fee. A mortgage advisor walks you through both. || How long does approval take? => Most applications receive an agreement in principle within 48 hours once documents are uploaded in the app.,Fixed and variable rate options|Up to 90% loan-to-value|Free property valuation included|Dedicated mortgage advisor throughout the process|No early repayment fee on variable rate,"Aged 18 or over and EU resident|Minimum net monthly income of €2,500|Property located within the EU|Proof of deposit (minimum 10%)",,family|young_professional,home|borrow|family,INS-HOME-001|INS-LIFE-001|SVC-MORT-001,0,0,0,0,0,0,0,0,60,0,18,30000,4.7,2140,92,2022-03-01T00:00:00
